id;NUMBER_OF_INSTALMENTS;TYPE_OF_LEASE;CAR_PRICE;DOWNPAYMENT_TO_CAR_PRICE;RESIDUAL_VALUE_TO_CAR_PRICE;LEGAL_FORM_group;WHETHER_CUSTOMER_BEFORE;CUSTOMER_FOR;NET_ASSETS;ANNUAL_TURNOVER_LAST_YEAR;ANNUAL_COSTS;ANNUAL_INCOME_LAST_YEAR;NUMBER_OF_EMPLOYEES;COMPANY_AGE;REGION;PKD_group;PKD_section;EMAIL;PHONE;TYPE_OF_VEHICLE;VEHICLE_AGE;FRAUD
9004;36;FL;61788.62;0.4500;0.0100;freelancer;no;0;0;327000;0;90000;1;5;Warszawa_Mazowsze;services;M;NO;NO;PKW;0;NO
9005;48;FL;91233.33;0.2000;0.0100;freelancer;no;0;?;162185;0;-3279.95;5;14;Katowice_Gorny_Slask;services;Q;NO;YES;PKW;0;NO
9006;24;FL;107154.47;0.3000;0.2500;freelancer;no;0;?;5960000;0;1120000;5;7;Krakow_Malopolska;sale;G;NO;YES;PKW;0;NO
9007;36;FL;81600;0.4500;0.0100;freelancer;no;0;?;4408000;0;1184818;55;17;Krakow_Malopolska;services;I;NO;YES;PKW;0;NO
9008;36;FL;94308.94;0.2000;0.0100;capital_company;no;0;61199323.5;73822023.8;0;2552717.49;225;6;Gdansk_Gdynia_Pomorze_Gdanskie;sale;G;NO;YES;PKW;1;NO
9009;36;FL;49349.59;0.2000;0.0100;capital_company;no;0;6454010;5164809;0;1032692;7;20;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
9010;36;FL;171544.73;0.4000;0.0100;personal_company;no;0;9773588.81;14571382.6;0;1895644.54;10;3;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
9011;36;FL;47900;0.3395;0.0100;freelancer;no;0;?;193607;0;175992;1;2;Poznan_Wielkopolska;services;Q;NO;YES;PKW;2;NO
9012;36;FL;59756.1;0.3000;0.0100;freelancer;no;0;?;4485816.34;0;418991.98;3;10;Szczecin_Pomorze_Zachodnie;sale;G;YES;YES;PKW;0;NO
9013;48;FL;53170.73;0.2000;0.0100;freelancer;no;0;?;44000;0;26000;0;1;Lodz_Ziemia_Lodzka;?;?;NO;NO;PKW;0;NO
9014;36;FL;64595.12;0.3000;0.0100;freelancer;no;0;?;114000;0;106000;0;2;Poznan_Wielkopolska;?;?;NO;YES;PKW;0;NO
9015;35;FL;60569.11;0.1000;0.0100;freelancer;no;0;?;154860;0;66935;1;7;Lublin_Chelm;services;Q;NO;YES;PKW;1;NO
9016;36;FL;65853.66;0.4000;0.0100;civil_partnership;no;0;0;3024652;0;360526;6;17;Warszawa_Mazowsze;building;F;NO;YES;PKW;1;NO
9017;36;FL;65853.66;0.4000;0.0100;civil_partnership;no;0;0;3024652;0;360526;6;17;Warszawa_Mazowsze;building;F;NO;YES;PKW;1;NO
9018;36;FL;71544.73;0.2000;0.0100;freelancer;no;0;?;64118;0;55862;0;13;Bydgoszcz_Torun_Kujawy;services;Q;NO;YES;PKW;0;NO
9019;48;FL;76341.46;0.1384;0.0100;freelancer;no;0;0;84000;0;82000;0;1;Szczecin_Pomorze_Zachodnie;?;?;NO;YES;PKW;0;NO
9020;48;FL;63414.62;0.1000;0.0100;capital_company;no;0;11931350;43720018.6;0;1019298.22;226;8;Bydgoszcz_Torun_Kujawy;?;?;NO;YES;PKW;0;NO
9021;24;FL;211466.67;0.4500;0.1900;freelancer;no;0;0;4774206.22;0;2003097.66;4;6;Dolny_Slask;services;M;YES;YES;PKW;2;NO
9022;36;FL;191788.62;0.4500;0.0100;freelancer;yes;1;0;4774206.22;0;2003097.66;4;8;Dolny_Slask;services;M;YES;YES;PKW;1;NO
9023;36;FL;218073.17;0.3700;0.0100;freelancer;no;0;?;1785059;0;29773;24;20;Dolny_Slask;?;?;NO;YES;PKW;0;NO
9024;36;FL;86991.87;0.1500;0.0100;other;no;0;?;12126369;0;240629;58;10;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9025;36;FL;151219.51;0.2000;0.0100;capital_company;no;0;46445588;31905321;0;6902843;64;14;Dolny_Slask;production;C;YES;YES;PKW;0;NO
9026;48;FL;52845.53;0.3846;0.0100;freelancer;no;0;?;2297803.79;0;22679.47;0;3;Rzeszow_Podkarpacie_Bieszczady;sale;G;NO;YES;PKW;0;NO
9027;36;FL;119756.1;0.2000;0.0100;freelancer;no;0;?;518787;0;490253;5;3;Krakow_Malopolska;building;F;NO;NO;PKW;1;NO
9028;60;FL;54471.53;0.2239;0.0100;freelancer;no;0;?;75983;0;48268;1;5;Rzeszow_Podkarpacie_Bieszczady;services;S;NO;YES;PKW;0;NO
9029;36;FL;37211.38;0.4370;0.0100;freelancer;no;0;?;415500;0;29185.77;0;14;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9030;36;FL;114715.45;0.2000;0.0100;freelancer;no;0;0;374382.24;0;213756.6;1;11;Lodz_Ziemia_Lodzka;services;Q;NO;NO;PKW;0;NO
9031;36;FL;60569.11;0.2000;0.0100;personal_company;no;0;5020845.53;8218933.07;0;118136.98;5;13;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9032;36;FL;55691.06;0.3000;0.0100;freelancer;no;0;?;230000;0;60000;3;13;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9033;36;FL;59341.48;0.2000;0.0100;capital_company;no;0;2192339;6000000;0;130000;60;9;Warszawa_Mazowsze;?;?;NO;NO;PKW;0;NO
9034;36;FL;59341.48;0.2000;0.0100;capital_company;no;0;2192339;6000000;0;130000;60;9;Warszawa_Mazowsze;?;?;NO;NO;PKW;0;NO
9035;36;FL;116504.08;0.3000;0.0100;capital_company;no;0;3191593;10080548;0;140540;31;7;Dolny_Slask;sale;G;NO;NO;PKW;0;NO
9036;24;FL;44552.86;0.4500;0.1900;civil_partnership;no;0;?;294033;0;87671;1;20;Kielce_Radom_Gory_Swietokrzyskie;services;M;NO;NO;PKW;1;NO
9037;36;FL;98943.09;0.3000;0.0100;capital_company;no;0;44440.18;0;0;0;2;0;Katowice_Gorny_Slask;?;?;NO;YES;PKW;1;NO
9038;36;FL;100894.31;0.3500;0.0100;freelancer;no;0;?;381305.24;0;118378.6;5;11;Gdansk_Gdynia_Pomorze_Gdanskie;services;S;NO;YES;PKW;0;NO
9039;36;FL;54300.81;0.2000;0.0100;capital_company;no;0;13272000;21740000;0;1916000;96;19;Lodz_Ziemia_Lodzka;building;F;NO;YES;PKW;1;NO
9040;36;FL;114000;0.2001;0.0100;capital_company;yes;0;13272000;21740000;0;1916000;96;20;Lodz_Ziemia_Lodzka;building;F;NO;YES;PKW;0;NO
9041;48;FL;69105.69;0.1000;0.0100;freelancer;no;0;?;120000;0;12000;4;16;Warszawa_Mazowsze;services;S;YES;YES;PKW;0;NO
9042;24;FL;67234.15;0.4500;0.1900;freelancer;no;0;?;60000;0;48000;0;20;Krakow_Malopolska;services;I;NO;YES;PKW;0;NO
9043;36;FL;62286.99;0.2000;0.0100;personal_company;no;0;2287279;5670766;0;1114936;25;8;Poznan_Wielkopolska;?;?;NO;YES;PKW;0;NO
9044;36;FL;62286.99;0.2000;0.0100;personal_company;no;0;2287279;5670766;0;1114936;25;8;Poznan_Wielkopolska;?;?;NO;YES;PKW;0;NO
9045;36;FL;137886.18;0.4500;0.0100;freelancer;no;0;?;266482;0;193993;1;6;Bydgoszcz_Torun_Kujawy;services;Q;NO;YES;PKW;0;NO
9046;36;FL;107154;0.1000;0.0100;other;no;0;?;1300000;0;170000;200;86;Poznan_Wielkopolska;services;Q;NO;YES;PKW;0;NO
9047;36;FL;35283.74;0.4493;0.0100;freelancer;no;0;0;12200062.5;0;62450.82;0;4;Wroclaw_Dolny_Slask;services;M;NO;NO;PKW;0;NO
9048;36;FL;34552.85;0.2000;0.1500;capital_company;no;0;10095134;8835070.57;0;-679532.51;47;9;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
9049;36;FL;34552.85;0.2000;0.1500;capital_company;no;0;10095134;8835070.57;0;-679532.51;47;9;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
9050;36;FL;34552.85;0.2000;0.1500;capital_company;no;0;10095134;8835070.57;0;-679532.51;47;9;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
9051;36;FL;110114.62;0.1000;0.0100;freelancer;no;0;?;7454080;0;881000;1;21;Lodz_Ziemia_Lodzka;?;?;NO;NO;PKW;0;NO
9052;24;FL;41788.62;0.4500;0.1900;freelancer;no;0;?;130000;0;39000;0;7;Bydgoszcz_Torun_Kujawy;?;?;NO;YES;PKW;0;NO
9053;36;FL;126678.05;0.4000;0.2000;freelancer;no;0;?;164180;0;68144;1;2;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9054;36;FL;53658.54;0.2000;0.0100;freelancer;no;0;?;162920.6;0;116746.02;1;10;Warszawa_Mazowsze;services;Q;NO;YES;PKW;0;NO
9055;36;FL;62520.34;0.4000;0.0100;civil_partnership;no;0;?;480024.84;0;165656.66;6;10;Gdansk_Gdynia_Pomorze_Gdanskie;?;?;NO;YES;PKW;0;NO
9056;24;FL;73870.73;0.3000;0.1900;personal_company;no;0;0;32000000;0;950000;1;7;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
9057;36;FL;36991.86;0.2000;0.0100;freelancer;no;0;0;4618037.06;0;147962.65;7;7;Warszawa_Mazowsze;sale;G;NO;NO;PKW;0;NO
9058;24;FL;96150;0.3000;0.2000;capital_company;no;0;4969868.98;5150877;0;293160;85;6;Warszawa_Mazowsze;production;E;NO;YES;PKW;0;NO
9059;31;FL;105000;0.3000;0.0867;capital_company;yes;0;4969868.98;5150877;0;293160;85;7;Warszawa_Mazowsze;production;E;NO;YES;PKW;0;NO
9060;48;FL;40649.59;0.4500;0.0100;freelancer;no;0;0;267366.18;0;27710.65;2;7;Katowice_Gorny_Slask;services;M;NO;NO;PKW;0;NO
9061;60;FL;97557.6;0.2000;0.0100;freelancer;no;0;?;43614.45;0;5096;0;2;Katowice_Gorny_Slask;services;K;NO;YES;PKW;0;NO
9062;36;FL;44130.08;0.2500;0.0100;freelancer;no;0;?;32070;0;8643.82;1;2;Lublin_Chelm;sale;G;NO;NO;PKW;0;NO
9063;48;FL;95609.76;0.3231;0.1500;capital_company;no;0;577739.32;2094059.27;0;280697.89;4;4;Gdansk_Gdynia_Pomorze_Gdanskie;services;S;NO;YES;PKW;1;NO
9064;48;FL;156910.57;0.1000;0.0100;freelancer;no;0;?;891077;0;311323;0;10;Bydgoszcz_Torun_Kujawy;services;Q;NO;YES;PKW;1;NO
9065;36;FL;33357.72;0.2000;0.0100;capital_company;no;0;5367304;14215065;0;902180;10;6;Wroclaw_Dolny_Slask;?;?;NO;YES;PKW;0;NO
9066;36;FL;33357.72;0.2000;0.0100;capital_company;yes;0;5367304;14215065;0;902180;10;6;Wroclaw_Dolny_Slask;?;?;NO;YES;PKW;0;NO
9067;36;FL;33357.72;0.2000;0.0100;capital_company;no;0;5367304;14215065;0;902180;10;6;Wroclaw_Dolny_Slask;?;?;NO;YES;PKW;0;NO
9068;36;FL;33357.72;0.2000;0.0100;capital_company;yes;0;5367304;14215065;0;902180;10;6;Wroclaw_Dolny_Slask;?;?;NO;YES;PKW;0;NO
9069;36;FL;103837.4;0.1000;0.0100;freelancer;no;0;?;19220306;0;646665;300;1;Krakow_Malopolska;services;I;NO;NO;PKW;0;NO
9070;48;FL;37000;0.1000;0.0100;capital_company;no;0;1096613.98;4491585;0;95680;0;2;Bydgoszcz_Torun_Kujawy;production;C;NO;NO;PKW;0;NO
9071;36;FL;56585.38;0.1000;0.0100;freelancer;no;0;0;1950000;0;600000;7;5;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;0;NO
9072;36;FL;56500;0.1000;0.0100;freelancer;yes;0;0;1950000;0;600000;7;5;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;1;NO
9073;36;FL;109512.21;0.2000;0.0100;capital_company;no;0;1083598;5554070;0;100535;8;7;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;NO
9074;36;FL;79404.88;0.2000;0.0100;capital_company;yes;0;1083598;5554070;0;100535;8;8;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;NO
9075;48;FL;62601.63;0.1000;0.0100;freelancer;no;0;0;2541652.44;0;1365194.9;1;4;Katowice_Gorny_Slask;production;C;NO;NO;PKW;1;NO
9076;60;FL;39187.01;0.1000;0.0100;freelancer;no;0;0;68900;0;45600;0;3;Lodz_Ziemia_Lodzka;services;Q;NO;YES;PKW;0;NO
9077;36;FL;88617.89;0.1000;0.0100;freelancer;no;0;?;528114.71;0;218622.92;13;4;Warszawa_Mazowsze;services;G;NO;NO;PKW;0;NO
9078;36;FL;40487.79;0.2000;0.0100;capital_company;no;0;5312243.29;7691974.18;0;706197.63;80;2;Lodz_Ziemia_Lodzka;building;F;NO;YES;PKW;0;NO
9079;48;FL;81300.81;0.3000;0.0100;capital_company;yes;0;5312243.29;7691974.18;0;706197.63;80;2;Lodz_Ziemia_Lodzka;building;F;NO;YES;PKW;1;NO
9080;36;FL;34411.87;0.2000;0.0100;freelancer;no;0;?;90000;0;49000;2;21;Warszawa_Mazowsze;education;P;NO;NO;PKW;0;NO
9081;36;FL;34634.15;0.2000;0.0100;freelancer;yes;0;?;90000;0;49000;2;21;Warszawa_Mazowsze;education;P;NO;NO;PKW;0;NO
9082;36;FL;250975.61;0.4500;0.0100;freelancer;no;0;0;1026072;0;796810;1;18;Poznan_Wielkopolska;services;Q;NO;YES;PKW;0;NO
9083;36;FL;152032.52;0.3000;0.0100;freelancer;yes;2;0;1026072;0;796810;1;20;Poznan_Wielkopolska;services;Q;NO;YES;PKW;1;NO
9084;36;FL;169349.59;0.2000;0.0100;freelancer;no;0;?;170257;0;-17894;1;1;Warszawa_Mazowsze;sale;L;NO;NO;PKW;0;NO
9085;24;FL;100804.88;0.3000;0.1900;capital_company;no;0;3255900;12512800;0;298000;38;15;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
9086;36;FL;65068;0.1000;0.0100;capital_company;no;0;234000;1857840;0;6157.91;10;9;Koszalin_Pomorze_Srodkowe;services;S;NO;YES;PKW;0;NO
9087;60;FL;52601.63;0.2000;0.0100;capital_company;no;0;11878886.7;0;0;0;255;1;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9088;60;FL;52601.63;0.2000;0.0100;capital_company;no;0;11878886.7;0;0;0;255;1;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9089;60;FL;52601.63;0.2000;0.0100;capital_company;no;0;11878886.7;0;0;0;255;1;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9090;60;FL;52601.63;0.2000;0.0100;capital_company;no;0;11878886.7;0;0;0;255;1;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9091;60;FL;52601.63;0.2000;0.0100;capital_company;no;0;11878886.7;0;0;0;255;1;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9092;24;FL;140497.56;0.4500;0.1900;capital_company;no;0;2293609;450000;0;74000;5;3;Warszawa_Mazowsze;building;F;NO;YES;PKW;0;NO
9093;36;FL;105691.06;0.3077;0.0100;freelancer;no;0;?;732385;0;35187;1;27;Poznan_Wielkopolska;services;F;NO;YES;PKW;1;NO
9094;24;FL;101626.02;0.3000;0.1900;freelancer;no;0;?;239520;0;217377.08;5;20;Koszalin_Pomorze_Srodkowe;building;F;NO;YES;PKW;1;NO
9095;24;FL;134666;0.1931;0.1900;freelancer;no;0;?;358204;0;321354;0;16;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9096;36;FL;95934.96;0.1000;0.0100;civil_partnership;no;0;?;2908420;0;511414;10;11;Wroclaw_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9097;36;FL;47154.47;0.3000;0.0100;freelancer;no;0;?;0;0;0;1;0;Kielce_Radom_Gory_Swietokrzyskie;services;M;NO;YES;PKW;2;NO
9098;60;FL;44390.24;0.1000;0.0100;personal_company;no;0;1856835.54;3815996.07;0;458989.75;25;24;Poznan_Wielkopolska;production;C;NO;YES;PKW;0;NO
9099;60;FL;44390.24;0.1000;0.0100;personal_company;yes;0;1856835.54;3815996.07;0;458989.75;25;24;Poznan_Wielkopolska;production;C;NO;YES;PKW;0;NO
9100;60;FL;58170.73;0.1000;0.0100;personal_company;yes;0;1856835.54;3815996.07;0;458989.75;25;24;Poznan_Wielkopolska;production;C;NO;YES;PKW;0;NO
9101;60;FL;55200;0.2500;0.2000;freelancer;no;0;?;167930;0;34608.13;1;4;Lublin_Chelm;?;?;NO;NO;PKW;0;NO
9102;36;FL;106422.76;0.2000;0.0100;capital_company;no;0;92000000;226000000;0;20500000;800;10;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9103;36;FL;58000;0.2803;0.0100;freelancer;no;0;?;2725443.6;0;75079.75;27;6;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;NO
9104;36;FL;49404.88;0.2000;0.0100;freelancer;no;0;?;92213.12;0;44506.19;0;10;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9105;36;FL;87288.62;0.3000;0.0100;freelancer;no;0;2037018.23;7848687.12;0;656012.33;6;6;Opole_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
9106;36;FL;66500;0.4500;0.1600;freelancer;no;0;0;436856.08;0;119008.18;3;10;Katowice_Gorny_Slask;services;F;NO;YES;PKW;0;NO
9107;60;FL;41056.91;0.1000;0.0100;freelancer;no;0;?;90219;0;76402.35;1;8;Gdansk_Gdynia_Pomorze_Gdanskie;services;Q;NO;YES;PKW;0;NO
9108;39;FL;41951.22;0.2000;0.0100;personal_company;no;0;3621240.98;595502.4;0;84696.85;12;0;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
9109;34;FL;41951.22;0.2000;0.0367;personal_company;no;0;3621240.98;595502.4;0;84696.85;12;0;Poznan_Wielkopolska;sale;G;NO;YES;PKW;0;NO
9110;36;FL;58211.38;0.2793;0.0100;capital_company;no;0;50000;1248946.43;0;16596.54;12;6;Gdansk_Gdynia_Pomorze_Gdanskie;services;C;NO;YES;PKW;0;NO
9111;36;FL;87804.87;0.1000;0.0100;freelancer;no;0;?;60000;0;40000;1;9;Kielce_Radom_Gory_Swietokrzyskie;?;?;NO;YES;PKW;0;NO
9112;48;FL;60975.61;0.3500;0.1500;capital_company;no;0;932920.58;35700.93;0;2353.42;1;0;Lodz_Ziemia_Lodzka;building;F;NO;NO;PKW;0;NO
9113;36;FL;34533.33;0.2000;0.0100;capital_company;no;0;376996.05;767935.73;0;23788.76;1;?;Poznan_Wielkopolska;services;M;NO;NO;PKW;0;NO
9114;36;FL;55093.51;0.2066;0.0100;freelancer;no;0;0;13903915.8;0;198879.8;50;0;Poznan_Wielkopolska;?;?;NO;YES;PKW;0;NO
9115;24;FL;109870;0.3000;0.1900;personal_company;no;0;1905890.24;3270654.21;0;400226.59;12;3;Gdansk_Gdynia_Pomorze_Gdanskie;services;C;YES;YES;PKW;0;NO
9116;48;FL;216782.93;0.3500;0.0100;freelancer;no;0;?;1612838;0;590666;19;11;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9117;36;FL;87804.88;0.2000;0.0100;freelancer;no;0;?;830139.09;0;-6314;4;13;Katowice_Gorny_Slask;services;H;NO;NO;PKW;1;NO
9118;60;FL;129000;0.2000;0.0100;freelancer;no;0;0;690700;0;286203;5;7;Koszalin_Pomorze_Srodkowe;services;H;NO;YES;PKW;0;NO
9119;36;FL;29300;0.2000;0.0100;freelancer;no;0;?;611706;0;76376;2;1;Olsztyn_Warmia_Mazury;sale;G;NO;YES;PKW;4;NO
9120;48;FL;56747.97;0.4500;0.1000;freelancer;no;0;0;301286.58;0;26176.68;1;1;Bydgoszcz_Torun_Kujawy;sale;G;NO;NO;PKW;0;NO
9121;36;FL;73796.75;0.4500;0.0100;freelancer;no;0;?;112400.65;0;137.47;0;16;Warszawa_Mazowsze;production;C;NO;YES;PKW;0;NO
9122;48;FL;98902.44;0.2000;0.0100;freelancer;no;0;?;142282.76;0;100153.51;0;6;Katowice_Gorny_Slask;services;Q;NO;NO;PKW;0;NO
9123;36;FL;102301.24;0.2000;0.0100;freelancer;no;0;?;135000;0;20000;1;0;Warszawa_Mazowsze;building;F;NO;YES;PKW;1;NO
9124;36;FL;26422.76;0.2000;0.0100;freelancer;no;0;1579660;2226978;0;701372;30;14;Krakow_Malopolska;services;N;NO;YES;PKW;0;YES
9125;36;FL;59130.08;0.4500;0.0100;civil_partnership;no;0;?;525527;0;48283;2;10;Katowice_Gorny_Slask;?;?;NO;YES;PKW;0;NO
9126;48;FL;201138.21;0.2500;0.0100;freelancer;no;0;?;940032;0;250000;8;13;Opole_Dolny_Slask;building;F;NO;NO;PKW;1;NO
9127;28;FL;35609.76;0.4500;0.1367;freelancer;no;0;0;160157;0;52120;5;7;Kielce_Radom_Gory_Swietokrzyskie;services;F;NO;YES;PKW;0;NO
9128;36;FL;79593.51;0.2000;0.0100;freelancer;no;0;?;165000;0;150000;1;9;Bialystok_Podlasie;services;Q;NO;NO;PKW;0;NO
9129;36;FL;35853.66;0.2000;0.0100;civil_partnership;no;0;0;10396682;0;249484;58;3;Bialystok_Podlasie;?;?;NO;YES;PKW;0;NO
9130;36;FL;39268.28;0.2000;0.0100;civil_partnership;yes;0;0;10396682;0;249484;58;4;Bialystok_Podlasie;?;?;NO;YES;PKW;0;NO
9131;36;FL;39268.29;0.2000;0.0100;civil_partnership;yes;1;0;10396682;0;249484;58;4;Bialystok_Podlasie;?;?;NO;YES;PKW;0;NO
9132;36;FL;40650.41;0.2000;0.0100;civil_partnership;yes;1;0;10396682;0;249484;58;5;Bialystok_Podlasie;?;?;NO;YES;PKW;0;NO
9133;48;FL;84552.85;0.3000;0.0100;freelancer;no;0;0;125000;0;81000;1;3;Rzeszow_Podkarpacie_Bieszczady;services;Q;NO;YES;PKW;1;NO
9134;48;FL;43731.71;0.1859;0.0100;freelancer;no;0;?;576978.67;0;70757.38;0;6;Warszawa_Mazowsze;services;M;NO;YES;PKW;0;NO
9135;36;FL;100650.41;0.3258;0.0100;civil_partnership;no;0;0;2263107;0;230000;5;16;Katowice_Gorny_Slask;production;C;NO;YES;PKW;0;NO
9136;48;FL;76141;0.1000;0.0100;freelancer;no;0;0;427121.6;0;184784;3;5;Katowice_Gorny_Slask;?;?;NO;YES;PKW;0;NO
9137;24;FL;34552.86;0.3762;0.1900;capital_company;no;0;488758.71;1922824.25;0;26958.61;6;3;Wroclaw_Dolny_Slask;?;?;NO;YES;PKW;4;NO
9138;48;FL;154878.05;0.2100;0.1500;freelancer;no;0;?;357407.8;0;222309.2;0;5;Katowice_Gorny_Slask;?;?;NO;YES;PKW;0;NO
9139;36;FL;64048.78;0.4500;0.0100;freelancer;no;0;?;1195160.66;0;557652.17;1;4;Warszawa_Mazowsze;?;?;NO;YES;PKW;0;NO
9140;36;FL;52032.52;0.3906;0.0100;freelancer;no;0;?;300484;0;30215;5;15;Poznan_Wielkopolska;?;?;NO;YES;PKW;0;NO
9141;49;FL;125569.12;0.0000;0.4667;capital_company;no;0;107985475;8089395;0;-4580091;0;?;Warszawa_Mazowsze;services;L;NO;NO;PKW;0;NO
9142;48;FL;90655.12;0.2000;0.0100;freelancer;no;0;?;54448;0;29912;1;0;Zielona_Gora_Lubuskie;services;K;NO;YES;PKW;0;NO
9143;48;FL;60260.16;0.1000;0.0100;capital_company;no;0;5316431.46;3745949.92;0;418684.68;8;1;Warszawa_Mazowsze;sale;G;NO;NO;PKW;0;NO
9144;36;FL;35967.48;0.2000;0.0100;freelancer;no;0;?;96260;0;53152.08;1;25;Opole_Dolny_Slask;?;?;NO;YES;PKW;0;NO
9145;48;FL;176422.75;0.2000;0.0100;civil_partnership;no;0;?;2542770;0;235282;17;11;Poznan_Wielkopolska;?;?;NO;NO;PKW;0;NO
9146;48;FL;176422.75;0.2000;0.0100;civil_partnership;no;0;?;2542770;0;235282;17;11;Poznan_Wielkopolska;?;?;NO;NO;PKW;0;NO
9147;36;FL;137317.07;0.4500;0.0100;civil_partnership;no;0;?;54525.31;0;125341.74;4;7;Katowice_Gorny_Slask;?;?;NO;YES;PKW;0;NO
9148;48;FL;106504.07;0.2000;0.0100;freelancer;no;0;?;1229935;0;133921;2;8;Olsztyn_Warmia_Mazury;production;A;NO;YES;PKW;0;NO
9149;35;FL;100487.8;0.4045;0.0200;freelancer;no;0;?;123877;0;64594.29;0;3;Gdansk_Gdynia_Pomorze_Gdanskie;services;Q;NO;NO;PKW;0;NO
9150;36;FL;53658.54;0.2000;0.0100;freelancer;no;0;0;396000;0;240000;1;5;Zielona_Gora_Lubuskie;services;Q;NO;NO;PKW;1;NO
9151;36;FL;125821.14;0.2000;0.0100;personal_company;no;0;1;1454163.51;0;993844.96;0;9;Wroclaw_Dolny_Slask;services;L;YES;NO;PKW;0;NO
9152;36;FL;65284.55;0.3000;0.0100;capital_company;no;0;0;0;0;0;1;0;Rzeszow_Podkarpacie_Bieszczady;services;S;NO;NO;PKW;0;NO
9153;36;FL;41056.91;0.3000;0.0100;freelancer;no;0;?;170045;0;45000;2;2;Koszalin_Pomorze_Srodkowe;?;?;NO;YES;PKW;0;NO
9154;36;FL;71040.65;0.3000;0.0100;freelancer;no;0;0;130000;0;90000;1;6;Katowice_Gorny_Slask;services;Q;NO;YES;PKW;0;NO
9155;36;FL;53500;0.3000;0.0100;freelancer;no;0;0;21539;0;20428;1;0;Kielce_Radom_Gory_Swietokrzyskie;sale;G;NO;YES;PKW;0;NO
9156;36;FL;101626.02;0.2000;0.2000;freelancer;no;0;?;218000;0;79736.28;0;3;Warszawa_Mazowsze;?;?;NO;YES;PKW;4;NO
9157;37;FL;32113.82;0.2000;0.0100;capital_company;no;0;10009468.3;28806221.1;0;353487.54;101;10;Bydgoszcz_Torun_Kujawy;building;F;NO;YES;PKW;0;NO
9158;33;FL;32113.82;0.2000;0.0533;capital_company;no;0;10009468.3;28806221.1;0;353487.54;101;10;Bydgoszcz_Torun_Kujawy;building;F;NO;YES;PKW;0;NO
9159;36;FL;55284.55;0.1000;0.0100;freelancer;no;0;?;151501;0;69482;1;4;Bialystok_Podlasie;services;M;NO;YES;PKW;0;NO
9160;60;FL;76276.42;0.1000;0.0100;freelancer;no;0;0;86855.16;0;998.11;1;4;Opole_Dolny_Slask;services;I;NO;YES;PKW;0;NO
9161;36;FL;54400;0.2000;0.0100;freelancer;no;0;?;6189000;0;501000;6;18;Gdansk_Gdynia_Pomorze_Gdanskie;sale;G;NO;YES;PKW;1;NO
9162;48;FL;73373.98;0.2006;0.0100;freelancer;yes;2;?;6189000;0;501000;6;20;Gdansk_Gdynia_Pomorze_Gdanskie;sale;G;NO;YES;LKW;1;NO
9163;43;FL;54918.7;0.3000;0.0100;freelancer;no;0;?;0;0;0;1;0;Kielce_Radom_Gory_Swietokrzyskie;services;F;NO;YES;PKW;1;NO
9164;48;FL;107808.13;0.2000;0.0100;freelancer;no;0;0;96000;0;84000;0;20;Bydgoszcz_Torun_Kujawy;services;K;NO;YES;PKW;0;NO
9165;36;FL;100000;0.4500;0.0100;freelancer;no;0;?;121932.82;0;65000;0;6;Rzeszow_Podkarpacie_Bieszczady;services;Q;NO;YES;PKW;0;NO
9166;48;FL;144430.89;0.2900;0.0100;freelancer;no;0;?;1500000;0;150000;5;9;Katowice_Gorny_Slask;?;?;NO;YES;PKW;0;NO
9167;36;FL;50227.64;0.2000;0.0100;freelancer;no;0;0;120000;0;40000;1;8;Poznan_Wielkopolska;services;M;NO;YES;PKW;0;NO
