City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,4/17/2018,24.37,40.66,6.12,32.93,39.05,2.12,1.15,,36.86,4.92,1.06,,69.0,Satisfactory
Delhi,3/2/2020,99.34,203.51,64.58,50.23,85.92,39.78,1.58,15.81,36.64,4.58,37.92,4.39,192.0,Moderate
Coimbatore,9/6/2019,16.71,26.91,7.72,5.04,12.64,3.73,1.73,8.26,15.78,0.02,0.2,,96.0,Satisfactory
Amaravati,1/12/2020,78.28,109.42,2.34,16.82,10.84,18.62,0.8,24.75,47.01,0.74,3.26,0.12,147.0,Moderate
Chandigarh,9/5/2019,,59.99,11.03,4.9,16.06,1.11,0.58,14.1,26.81,4.77,1.81,57.52,77.0,Satisfactory
Visakhapatnam,6/12/2020,37.67,76.27,12.17,53.59,35.52,9.85,0.97,5.74,17.35,4.77,18.89,2.85,84.0,Satisfactory
Talcher,5/9/2019,42.87,203.68,14.32,12.38,25.93,6.85,1.79,25.03,7.36,0.0,,,170.0,Moderate
Delhi,8/9/2018,36.84,91.15,17.18,24.98,29.1,38.58,0.89,9.85,34.11,1.37,21.43,0.47,102.0,Moderate
Amaravati,4/27/2019,23.32,70.68,1.97,16.88,10.58,5.65,0.66,16.4,34.16,0.38,1.13,0.11,78.0,Satisfactory
Mumbai,10/16/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Shillong,1/26/2020,44.81,55.75,0.82,2.68,1.21,2.68,0.33,7.66,39.22,438.01,437.77,,74.0,Satisfactory
Coimbatore,12/28/2019,29.87,37.2,0.68,16.25,15.8,7.94,0.05,2.57,44.05,0.01,0.0,,74.0,Satisfactory
Gurugram,1/27/2017,114.14,,7.27,9.68,,,0.61,3.3,16.15,3.72,37.22,,,
Mumbai,1/2/2015,,,,,26.2,,0.0,,,0.0,0.0,0.0,,
Hyderabad,2/14/2016,58.29,100.33,5.07,7.93,11.66,10.3,0.94,5.61,38.25,1.12,5.71,1.44,120.0,Moderate
Coimbatore,4/26/2020,24.05,30.31,0.93,41.16,42.12,5.82,0.84,6.42,23.09,0.0,0.01,,54.0,Satisfactory
Mumbai,5/13/2018,24.22,79.1,36.41,30.02,66.43,,1.36,21.32,39.09,0.62,,,90.0,Satisfactory
Delhi,6/17/2017,41.96,87.16,38.8,70.93,10.95,48.94,0.0,,,1.23,0.0,,88.0,Satisfactory
Patna,6/23/2018,64.14,,17.27,61.85,26.49,,0.87,38.09,84.79,4.35,32.2,24.16,159.0,Moderate
Hyderabad,10/7/2016,15.45,57.53,10.46,40.95,13.83,10.52,0.2,6.22,23.05,0.01,0.17,0.7,63.0,Satisfactory
Lucknow,10/2/2015,54.13,,1.31,9.75,2.21,,12.16,1.9,40.06,0.17,0.11,,143.0,Moderate
Delhi,6/21/2019,71.15,188.16,13.56,44.78,37.67,32.14,1.22,12.23,59.68,3.07,24.07,0.64,178.0,Moderate
Ahmedabad,4/13/2020,18.77,61.54,2.81,23.01,13.01,,0.39,26.86,47.88,3.41,25.88,2.56,95.0,Satisfactory
Ahmedabad,8/6/2015,42.56,,7.17,20.4,27.57,,7.17,6.28,9.86,1.36,2.94,0.28,172.0,Moderate
Mumbai,5/4/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Lucknow,6/26/2017,39.02,,5.78,12.17,,,1.22,3.2,17.87,1.52,2.68,,78.0,Satisfactory
Mumbai,3/24/2020,35.58,92.81,10.91,12.34,22.74,13.82,0.52,8.75,38.04,4.72,,,86.0,Satisfactory
Amritsar,4/27/2019,60.35,110.87,15.37,13.76,29.13,8.41,0.78,,28.28,4.16,2.18,12.91,93.0,Satisfactory
Bengaluru,1/6/2016,68.22,91.74,29.68,68.5,55.38,16.71,0.93,14.23,45.98,1.25,1.11,,121.0,Moderate
Jaipur,5/6/2018,67.36,168.37,10.71,25.6,31.37,11.54,0.67,8.65,94.99,0.45,15.21,,171.0,Moderate
Chennai,12/13/2018,51.85,,11.78,20.16,31.05,36.35,1.05,12.84,23.49,0.27,0.18,,154.0,Moderate
Ahmedabad,4/26/2016,,,,,,,,,,,,,,
Hyderabad,6/10/2020,20.26,42.43,7.09,21.57,16.09,15.23,0.28,5.72,17.59,1.2,8.26,2.59,48.0,Good
Visakhapatnam,8/9/2018,44.7,109.74,11.97,37.98,29.93,10.93,0.61,9.11,13.38,4.69,12.87,3.73,100.0,Satisfactory
Talcher,5/29/2019,50.46,183.66,18.77,10.15,28.92,7.21,1.31,31.14,8.21,0.0,,,167.0,Moderate
Jaipur,4/28/2020,25.22,50.57,3.07,13.61,14.18,20.34,0.73,12.19,59.58,0.89,0.44,,79.0,Satisfactory
Amritsar,10/25/2018,37.17,106.31,35.32,26.8,63.12,16.05,0.0,6.35,20.92,13.54,1.98,10.25,119.0,Moderate
Ahmedabad,3/12/2020,41.19,114.05,6.04,31.18,19.72,,6.04,40.38,,2.85,46.56,1.13,218.0,Poor
Bengaluru,12/6/2017,93.7,92.18,12.0,44.52,28.15,25.89,0.89,4.86,,0.0,0.43,,83.0,Satisfactory
Delhi,7/14/2016,73.51,56.29,31.24,29.7,54.28,61.03,5.0,7.39,47.3,3.87,13.39,,247.0,Poor
Ahmedabad,3/8/2020,35.04,85.35,7.87,45.21,27.93,,7.87,32.78,,2.85,46.56,1.13,325.0,Very Poor
Thiruvananthapuram,6/21/2018,20.49,44.95,3.04,12.9,9.3,1.84,0.77,6.0,28.31,,,,57.0,Satisfactory
Gurugram,5/25/2016,82.76,,1.37,5.89,7.56,,0.74,2.75,19.06,,,,116.0,Moderate
Talcher,7/16/2019,36.21,197.62,34.18,3.27,37.45,8.06,1.64,33.14,3.9,0.0,,,149.0,Moderate
Chennai,8/10/2017,27.71,,6.57,11.5,9.05,,0.0,3.73,13.38,0.06,0.54,,48.0,Good
Jorapokhar,6/20/2018,,,,,,,,,,,,,,
Gurugram,10/4/2019,37.82,128.94,22.17,13.84,29.41,,1.02,3.4,39.72,0.89,2.67,,97.0,Satisfactory
Delhi,12/26/2016,154.26,307.64,61.69,65.49,56.57,51.87,0.66,22.82,36.31,4.36,7.7,,338.0,Very Poor
Jorapokhar,9/11/2018,,,,,,,,,,,,,,
Ahmedabad,7/12/2016,,,,,,,,,,,,,,
Patna,7/12/2017,,,,,,,,,,,,,,
Mumbai,4/22/2018,,,,,,,,,,,,,,
Hyderabad,4/1/2020,47.96,83.65,3.72,19.98,13.07,11.07,0.65,6.64,35.46,1.96,8.69,0.28,87.0,Satisfactory
Jorapokhar,2/23/2020,75.34,167.02,26.95,11.6,,8.74,,39.48,53.28,,,,184.0,Moderate
Kochi,3/4/2020,35.82,93.48,99.63,0.4,76.03,2.33,1.43,17.78,1.51,,0.0,,97.0,Satisfactory
Gurugram,12/19/2019,168.88,285.04,49.39,35.26,62.44,,2.11,64.78,28.39,2.01,6.0,,282.0,Poor
Hyderabad,2/8/2019,58.24,133.58,8.67,48.41,32.58,14.22,0.64,10.22,29.95,2.11,18.41,10.15,114.0,Moderate
Delhi,4/11/2020,53.03,118.1,9.54,23.64,21.9,28.33,0.83,18.38,49.51,1.88,11.18,0.04,126.0,Moderate
Ernakulam,5/31/2020,5.54,13.53,5.46,,4.92,21.71,1.54,2.48,,0.06,0.14,0.0,81.0,Satisfactory
Mumbai,12/22/2017,,,,,130.96,,0.0,,,0.0,0.0,0.0,,
Lucknow,6/22/2020,29.44,,6.49,7.97,9.31,11.42,1.02,5.27,49.16,10.45,6.21,,64.0,Satisfactory
Hyderabad,2/1/2016,67.17,104.62,5.32,2.76,5.31,10.5,1.43,11.66,0.1,,,,136.0,Moderate
Gurugram,6/8/2019,77.37,,10.63,33.05,16.22,,0.36,6.26,98.28,0.0,0.0,,214.0,Poor
Gurugram,8/28/2017,6.42,,17.25,29.0,,,0.75,2.46,17.97,0.0,0.0,,,
Thiruvananthapuram,10/21/2018,11.42,24.47,2.99,3.84,4.45,3.18,0.8,5.49,8.17,,,,47.0,Good
Mumbai,11/27/2019,73.81,143.06,33.12,40.31,73.44,17.02,0.94,16.55,23.19,8.81,,,173.0,Moderate
Patna,9/30/2018,75.9,,3.77,27.07,9.3,,0.93,26.73,107.35,2.16,32.93,5.65,191.0,Moderate
Visakhapatnam,11/26/2017,70.0,124.86,1.39,31.12,17.64,10.32,0.98,8.23,121.71,3.74,5.86,1.1,175.0,Moderate
Hyderabad,1/24/2018,67.07,131.41,4.69,42.71,26.3,24.15,0.71,9.52,45.11,2.46,12.56,4.5,121.0,Moderate
Amaravati,2/6/2019,81.71,142.46,15.23,74.7,49.36,10.83,1.03,18.7,37.16,0.07,0.09,0.1,178.0,Moderate
Thiruvananthapuram,3/31/2020,19.28,49.22,7.39,7.91,10.18,7.1,0.65,6.65,40.33,,,,70.0,Satisfactory
Bengaluru,11/20/2017,32.21,58.7,10.9,36.61,25.05,26.43,0.91,3.59,17.27,0.01,0.0,,62.0,Satisfactory
Jorapokhar,2/17/2018,,99.2,9.34,9.42,,7.04,0.26,47.19,165.48,,,,225.0,Poor
Lucknow,4/17/2017,87.25,,7.29,19.82,,,1.55,7.47,113.96,2.21,5.31,,198.0,Moderate
Mumbai,2/7/2020,49.35,136.21,32.11,39.96,68.25,20.77,0.9,9.22,46.27,2.57,,,129.0,Moderate
Shillong,4/23/2020,,,,,0.0,,0.0,,,0.0,0.0,,,
Visakhapatnam,10/8/2019,57.44,157.35,30.91,65.83,60.15,28.27,0.87,21.33,23.63,9.66,23.43,12.41,114.0,Moderate
Mumbai,2/10/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Brajrajnagar,10/14/2019,39.96,86.42,7.7,6.33,8.98,38.89,1.62,8.96,6.63,2.7,,,103.0,Moderate
Mumbai,12/11/2019,95.77,169.34,28.29,44.51,71.52,21.34,1.29,14.82,28.02,7.84,,,198.0,Moderate
Hyderabad,7/15/2019,15.96,40.84,4.06,13.46,10.75,7.26,0.39,5.51,18.62,0.37,3.24,0.17,44.0,Good
Bengaluru,10/8/2017,78.14,65.04,7.57,22.5,14.42,26.27,0.58,4.22,35.86,1.1,1.31,,104.0,Moderate
Thiruvananthapuram,5/4/2019,33.84,100.42,1.84,5.31,3.06,2.45,0.88,3.69,46.24,,,,102.0,Moderate
Patna,3/23/2016,142.92,,11.04,18.76,29.82,,1.9,13.38,34.34,0.21,0.6,0.15,176.0,Moderate
Lucknow,2/21/2016,86.47,,3.75,41.05,2.21,,1.09,3.53,46.49,0.82,0.31,,238.0,Poor
Delhi,1/30/2019,206.14,334.21,61.02,63.7,89.54,42.99,1.76,24.75,35.84,5.45,42.52,0.71,342.0,Very Poor
Coimbatore,3/20/2020,44.99,60.23,0.86,61.93,62.8,,0.8,6.98,36.49,0.0,0.0,,81.0,Satisfactory
Delhi,3/22/2016,47.43,139.62,5.98,31.12,32.05,21.64,0.96,13.54,70.69,2.41,4.66,,176.0,Moderate
Bengaluru,5/26/2017,24.85,69.0,6.67,26.78,0.0,23.65,0.41,3.65,11.46,0.68,0.58,,66.0,Satisfactory
Visakhapatnam,8/28/2018,41.97,108.88,13.79,48.76,37.14,12.83,0.9,10.66,29.39,7.33,12.81,5.54,122.0,Moderate
Chennai,7/4/2018,53.97,,7.05,19.43,13.93,50.44,0.86,5.74,23.34,0.0,1.74,,93.0,Satisfactory
Shillong,10/2/2019,15.38,21.8,1.12,3.58,1.58,3.66,0.29,5.75,38.39,0.33,0.64,,47.0,Good
Mumbai,8/20/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Visakhapatnam,12/25/2017,115.56,168.7,6.88,39.23,26.44,16.31,1.21,8.55,82.6,3.6,4.26,1.2,292.0,Poor
Thiruvananthapuram,7/10/2017,15.94,31.78,1.92,7.1,5.31,,0.68,4.36,17.31,,,,47.0,Good
Lucknow,7/28/2017,49.58,,7.75,14.39,,,1.14,4.4,13.69,1.49,3.08,,84.0,Satisfactory
Talcher,4/2/2018,29.93,90.34,65.8,4.7,65.58,17.55,1.8,31.76,38.27,0.0,0.0,,139.0,Moderate
Bengaluru,6/9/2016,,20.5,2.23,9.93,6.3,,0.38,2.14,,,,,,
Brajrajnagar,11/26/2018,,,,,,,,,,,,,,
Hyderabad,1/28/2017,68.79,131.75,8.46,43.74,7.53,18.29,0.0,12.09,43.59,0.0,0.1,0.03,115.0,Moderate
Patna,1/7/2017,195.2,,43.54,32.98,76.53,,2.57,8.79,8.51,0.23,0.87,0.47,374.0,Very Poor
Delhi,2/18/2016,148.75,217.16,41.39,76.11,115.01,54.55,1.41,26.28,90.48,9.41,24.42,,310.0,Very Poor
Amritsar,10/26/2019,107.98,161.15,11.28,8.57,19.43,32.46,0.56,15.87,19.54,3.09,3.77,1.98,234.0,Poor
Visakhapatnam,12/16/2016,52.28,113.57,8.7,46.05,29.97,9.93,1.14,32.89,61.72,5.59,8.82,5.51,119.0,Moderate
Ernakulam,6/18/2020,,,,,,,,,,,,,,
Delhi,4/4/2019,119.71,270.77,53.23,63.62,81.06,37.04,1.8,29.11,60.25,6.57,44.58,1.27,260.0,Poor
Jorapokhar,1/13/2020,69.44,175.52,8.69,9.11,,6.45,,22.31,62.32,,,,130.0,Moderate
Ahmedabad,2/24/2019,64.5,,56.57,77.32,49.9,,56.57,52.95,39.14,4.14,32.38,7.02,789.0,Severe
Bengaluru,12/8/2017,103.18,93.55,28.0,66.21,50.17,68.36,1.05,4.75,,,1.33,,120.0,Moderate
Jorapokhar,6/23/2018,,,,,,,,,,,,,,
Hyderabad,11/27/2019,71.3,141.73,4.68,38.76,20.13,10.22,0.85,5.83,28.08,2.78,17.32,3.6,154.0,Moderate
Amritsar,7/15/2017,52.08,97.63,20.36,28.82,,12.17,0.0,4.24,10.05,2.25,3.64,0.54,96.0,Satisfactory
Visakhapatnam,9/30/2019,32.77,99.56,32.53,32.42,43.7,10.69,1.32,9.55,13.14,4.6,15.39,4.67,98.0,Satisfactory
Chennai,10/11/2016,32.16,,6.6,28.53,15.1,,0.02,2.64,28.41,0.44,0.13,,66.0,Satisfactory
Jaipur,1/31/2018,69.6,194.82,29.36,34.65,50.6,23.28,1.18,13.34,50.29,1.66,1.99,,208.0,Poor
Gurugram,11/5/2019,152.59,244.2,12.67,33.7,31.94,,0.75,14.77,27.86,2.0,5.99,,360.0,Very Poor
Hyderabad,2/2/2018,47.46,120.39,21.51,68.01,53.44,21.65,0.99,16.85,36.32,5.81,41.64,9.58,125.0,Moderate
Amritsar,4/26/2018,43.85,109.9,,8.67,,6.99,0.75,4.74,,,,,119.0,Moderate
Delhi,4/28/2015,81.37,141.25,11.98,34.88,43.91,29.46,4.67,13.97,70.42,1.66,6.08,2.79,234.0,Poor
Chennai,3/7/2015,,,11.05,18.61,11.19,10.8,10.12,8.04,85.37,7.61,,,,
Ahmedabad,8/22/2017,,,,,,,,,,,,,,
Mumbai,1/4/2016,,,,,52.01,,0.0,,,0.0,0.0,0.0,,
Amritsar,1/6/2020,33.39,47.36,10.21,10.43,20.35,11.87,0.6,6.75,38.56,1.74,1.8,2.0,88.0,Satisfactory
Delhi,1/24/2019,130.59,218.93,37.42,44.11,58.86,41.06,1.44,15.29,30.57,4.78,44.97,0.43,328.0,Very Poor
Mumbai,12/7/2015,,,,,112.94,,0.0,,,0.0,0.0,0.0,,
Gurugram,2/13/2019,158.5,326.16,85.16,130.46,122.32,,0.69,9.94,25.3,0.0,0.0,,330.0,Very Poor
Patna,1/18/2019,337.78,,13.85,2.82,9.05,,2.48,31.11,29.4,3.98,26.24,14.33,482.0,Severe
Ahmedabad,11/3/2017,96.65,,24.81,67.28,66.67,,24.81,67.31,33.84,21.21,60.08,3.37,550.0,Severe
Mumbai,10/28/2018,,,,,,,,,,,,,144.0,Moderate
Lucknow,9/6/2019,41.64,,8.65,17.35,17.78,29.6,1.09,4.83,29.74,1.17,4.39,,75.0,Satisfactory
Chennai,7/11/2015,62.54,,6.95,19.45,16.78,62.36,8.49,7.05,31.75,,,,208.0,Poor
Jorapokhar,11/10/2017,,110.4,8.68,7.74,,6.63,0.37,33.91,19.0,,,,,
Jorapokhar,10/19/2018,,283.64,7.23,6.95,,6.61,0.0,,30.43,,,,225.0,Poor
Patna,9/10/2016,97.21,,27.86,21.84,49.64,,1.13,2.95,8.46,0.19,0.92,0.54,204.0,Poor
Bengaluru,6/25/2020,16.93,40.06,6.01,17.67,19.1,7.42,0.74,7.73,19.58,0.4,1.52,,63.0,Satisfactory
Ahmedabad,6/7/2019,30.07,124.01,15.49,122.88,78.85,,15.49,31.67,70.29,,,,354.0,Very Poor
Delhi,9/11/2015,67.35,181.99,16.4,46.81,56.83,34.81,1.13,10.98,68.81,3.26,9.36,2.59,218.0,Poor
Bengaluru,7/9/2016,,51.22,7.27,15.69,14.37,28.08,0.46,4.04,,,0.31,,65.0,Satisfactory
Mumbai,2/6/2020,47.67,127.57,16.91,36.64,51.75,21.09,0.87,7.87,52.05,2.41,,,138.0,Moderate
Chennai,11/5/2017,24.37,,6.86,16.96,11.65,104.46,0.77,6.55,12.74,0.3,3.46,,58.0,Satisfactory
Ahmedabad,10/31/2017,77.12,,3.96,25.16,15.09,,3.96,28.73,56.01,2.56,8.52,1.16,,
Delhi,4/10/2019,101.94,247.53,55.11,56.82,80.11,40.97,1.76,20.84,50.86,6.07,38.21,1.31,263.0,Poor
Brajrajnagar,2/18/2019,73.28,130.16,16.92,24.75,34.74,36.82,3.23,16.33,16.2,0.0,,,,
Ahmedabad,11/14/2019,49.19,116.2,20.01,202.95,121.82,,20.01,155.16,27.68,2.14,27.52,1.91,415.0,Severe
Thiruvananthapuram,3/16/2019,44.04,88.36,0.95,7.15,4.39,4.09,0.83,5.28,66.07,,,,94.0,Satisfactory
Patna,2/2/2020,67.25,141.65,37.12,37.85,73.98,32.47,0.73,9.85,21.59,1.4,6.35,1.37,172.0,Moderate
Lucknow,9/24/2015,48.54,,2.51,4.55,2.21,,1.44,2.2,31.76,2.2,2.2,,85.0,Satisfactory
Lucknow,1/22/2018,242.99,,43.71,51.54,60.5,47.15,1.34,8.87,33.49,2.57,4.52,,384.0,Very Poor
Hyderabad,3/4/2017,32.73,90.8,7.83,25.01,7.66,18.84,0.16,10.15,68.85,0.06,0.92,0.22,116.0,Moderate
Lucknow,6/6/2018,59.98,,2.42,20.37,21.02,33.97,0.66,8.73,13.16,0.0,0.0,,175.0,Moderate
Patna,6/6/2019,43.46,,6.15,8.43,5.91,,1.13,42.73,82.54,1.19,7.56,4.89,115.0,Moderate
Amaravati,1/25/2020,51.18,76.33,1.67,11.66,7.55,18.53,0.64,18.69,46.21,0.49,0.9,0.1,98.0,Satisfactory
Amritsar,5/2/2020,28.37,114.11,20.75,16.36,29.69,12.73,0.63,8.45,43.57,1.29,1.09,8.72,118.0,Moderate
Hyderabad,1/15/2019,75.13,145.13,3.24,42.04,24.66,23.37,0.75,10.91,35.6,3.68,26.28,4.9,147.0,Moderate
Mumbai,11/3/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Amritsar,1/20/2020,64.93,108.1,9.57,10.17,19.06,11.96,0.68,7.84,15.94,2.09,2.01,1.94,111.0,Moderate
Lucknow,7/13/2015,35.26,,12.05,8.15,3.22,,2.56,9.39,39.11,0.48,0.97,,,
Hyderabad,8/26/2019,17.16,51.14,4.2,19.36,12.3,12.11,0.38,7.65,19.4,0.17,1.37,0.05,52.0,Satisfactory
Ahmedabad,6/9/2019,35.3,120.77,15.2,146.65,88.87,,15.2,127.62,81.55,29.46,141.33,14.86,324.0,Very Poor
Chennai,9/3/2016,36.8,,9.64,12.5,16.49,,1.61,4.8,17.04,0.99,4.12,,126.0,Moderate
Mumbai,2/14/2015,,,,,28.2,,0.0,,,0.0,0.0,0.0,,
Thiruvananthapuram,12/1/2017,9.7,15.05,2.01,6.78,5.23,4.23,0.92,2.93,7.89,,,,57.0,Satisfactory
Amaravati,2/12/2018,59.47,99.73,0.54,12.85,7.18,11.94,0.68,7.62,30.57,0.04,1.88,0.11,118.0,Moderate
Talcher,4/24/2020,25.29,23.56,23.07,9.83,13.88,11.45,1.9,68.72,48.42,0.0,,,102.0,Moderate
Lucknow,5/4/2018,45.38,,24.68,64.43,33.45,23.03,0.36,10.9,33.33,0.0,0.0,,94.0,Satisfactory
Bengaluru,6/26/2017,31.13,96.37,12.54,37.52,0.0,31.96,1.16,7.96,8.44,1.73,1.44,,138.0,Moderate
Hyderabad,4/15/2015,44.79,,8.33,15.29,23.62,,0.8,7.6,30.83,,,,179.0,Moderate
Amritsar,3/9/2017,29.88,33.2,10.64,11.66,,2.31,0.36,4.26,21.11,,,,59.0,Satisfactory
Visakhapatnam,5/19/2020,26.88,76.7,2.0,28.32,16.46,7.56,0.11,10.13,24.73,2.06,5.23,1.31,52.0,Satisfactory
Talcher,4/7/2018,,,,,,,,,,,,,,
Mumbai,3/6/2015,,,,,30.51,,0.0,,,0.0,0.0,0.0,,
Guwahati,6/25/2020,18.8,31.55,4.85,12.57,9.73,4.47,0.46,15.9,22.73,0.0,,,37.0,Good
Thiruvananthapuram,3/31/2018,38.5,76.18,1.71,10.19,6.82,5.34,2.99,5.8,41.97,,,,130.0,Moderate
Patna,6/11/2016,84.0,,6.08,23.85,29.93,,1.23,1.65,30.51,0.22,0.83,0.34,,
Coimbatore,4/27/2020,21.5,25.17,0.68,26.92,27.59,,0.85,6.28,23.81,0.0,0.0,,49.0,Good
Thiruvananthapuram,11/25/2018,27.44,44.34,3.54,3.54,4.29,3.29,1.2,5.53,41.98,,,,76.0,Satisfactory
Hyderabad,4/11/2020,23.99,43.01,10.56,27.24,21.24,13.54,0.38,6.21,23.3,1.17,7.4,0.35,55.0,Satisfactory
Chennai,1/8/2016,69.88,,8.13,25.36,25.42,296.29,0.89,3.91,19.24,,,,120.0,Moderate
Jorapokhar,12/24/2019,84.61,264.4,8.51,9.48,,6.41,,29.38,33.35,,,,225.0,Poor
Mumbai,4/14/2020,26.89,81.61,14.12,10.47,23.66,7.83,0.53,7.61,18.91,4.12,,,87.0,Satisfactory
Bengaluru,7/22/2019,15.91,41.71,6.7,24.64,26.02,11.03,0.69,6.1,27.44,0.36,1.11,,57.0,Satisfactory
Hyderabad,8/7/2018,18.92,55.72,4.71,24.24,16.08,16.94,0.3,8.15,13.97,0.54,3.37,0.64,54.0,Satisfactory
Visakhapatnam,4/10/2019,33.69,99.18,14.32,22.46,23.58,5.62,0.66,5.13,9.26,2.02,3.52,0.66,100.0,Satisfactory
Gurugram,2/20/2019,73.53,165.85,12.36,24.17,23.55,,0.46,6.56,19.49,0.0,0.0,,213.0,Poor
Brajrajnagar,12/30/2018,91.29,154.7,20.43,24.46,40.71,47.48,2.46,13.88,8.52,12.15,,,200.0,Moderate
Jaipur,4/9/2020,22.06,56.49,2.97,11.82,12.59,17.25,0.54,12.54,56.44,0.3,7.87,,78.0,Satisfactory
Bengaluru,12/3/2017,32.42,69.73,13.43,42.05,29.32,,0.86,2.16,8.9,0.0,0.02,,54.0,Satisfactory
Gurugram,1/5/2019,218.77,408.1,33.49,31.7,48.71,,1.32,22.35,20.82,0.0,0.0,,392.0,Very Poor
Gurugram,4/14/2020,51.22,131.79,6.89,19.88,13.53,37.1,0.81,13.28,47.71,3.09,2.97,2.82,122.0,Moderate
Brajrajnagar,1/4/2019,114.33,200.21,23.74,25.85,43.45,53.25,2.82,15.05,7.91,12.76,,,297.0,Poor
Lucknow,6/29/2016,45.45,,8.34,33.81,7.08,,1.01,5.43,17.6,0.65,,,47.0,Good
Lucknow,12/25/2015,119.88,,5.24,12.53,4.89,,11.6,5.07,48.63,0.43,1.28,,325.0,Very Poor
Visakhapatnam,12/16/2018,53.03,107.74,4.65,22.34,15.67,10.4,0.61,7.09,49.89,2.87,5.47,0.99,130.0,Moderate
Jorapokhar,6/1/2020,30.4,152.57,24.85,11.01,,8.99,0.49,21.81,44.51,,,,145.0,Moderate
Chennai,7/30/2015,49.89,,5.12,19.47,17.43,39.93,2.28,13.85,29.26,,,,141.0,Moderate
Brajrajnagar,3/23/2018,109.51,211.11,20.48,30.11,50.59,10.07,4.17,15.2,14.9,0.0,,,246.0,Poor
Amritsar,4/13/2018,42.29,99.54,,25.06,,4.8,0.81,5.11,,,,,83.0,Satisfactory
Ahmedabad,8/31/2019,37.05,111.11,30.71,48.51,58.68,,30.71,46.13,37.33,2.14,32.05,0.52,464.0,Severe
Gurugram,5/4/2020,23.7,45.29,4.49,11.12,10.51,16.83,0.55,7.71,64.94,5.78,2.55,2.21,94.0,Satisfactory
Lucknow,1/18/2016,232.46,,5.09,11.48,4.22,,1.93,7.1,36.08,2.85,3.84,,369.0,Very Poor
Gurugram,10/10/2018,96.1,186.32,13.37,57.05,46.78,,0.99,7.52,50.92,2.61,,,284.0,Poor
Thiruvananthapuram,10/15/2019,16.53,29.12,0.85,4.47,7.6,3.38,1.09,0.92,15.67,,,,67.0,Satisfactory
Amritsar,9/23/2019,29.63,55.14,13.39,10.91,23.32,9.5,0.51,6.26,32.18,1.83,1.15,1.98,66.0,Satisfactory
Chennai,1/15/2018,68.45,,9.11,11.26,10.79,113.32,0.89,13.78,40.6,1.03,1.81,,147.0,Moderate
Lucknow,12/24/2015,176.88,,6.39,13.01,4.22,,2.39,4.68,40.87,0.3,0.89,,366.0,Very Poor
Mumbai,7/16/2017,,,,,,,0.0,,,0.0,0.0,0.0,,
Chennai,11/2/2015,41.44,,9.98,11.73,15.99,56.08,1.34,10.96,61.39,30.77,38.46,,142.0,Moderate
Amaravati,6/15/2020,10.07,24.04,2.12,9.21,6.62,8.73,0.48,12.19,33.82,0.06,0.41,0.1,41.0,Good
Mumbai,8/1/2019,9.44,38.95,18.22,10.59,27.45,16.59,0.43,7.93,14.61,2.14,,,58.0,Satisfactory
Jorapokhar,10/25/2018,,258.84,6.87,7.19,,6.68,0.0,,29.8,,,,219.0,Poor
Brajrajnagar,1/9/2019,115.84,162.16,13.46,23.55,32.74,42.79,3.03,14.86,6.98,11.68,,,284.0,Poor
Visakhapatnam,7/30/2016,29.12,77.05,8.21,30.77,21.1,15.58,0.89,26.82,41.79,4.09,6.99,2.75,95.0,Satisfactory
Patna,12/13/2019,153.66,,8.84,13.97,14.62,,1.06,13.99,20.57,1.74,4.69,4.1,361.0,Very Poor
Delhi,11/10/2015,249.95,452.96,88.06,84.89,150.79,69.34,2.64,33.72,115.45,8.75,21.95,2.86,439.0,Severe
Delhi,11/7/2016,488.57,527.64,159.5,123.36,94.03,72.81,2.21,23.88,33.33,8.95,23.12,,716.0,Severe
Mumbai,7/15/2016,,,,,139.88,,0.0,,,0.0,0.0,0.0,,
Bengaluru,7/17/2016,,42.24,10.92,20.74,17.38,12.73,0.74,1.84,,,0.0,,70.0,Satisfactory
Chennai,1/24/2016,51.32,,4.16,8.8,8.12,35.18,2.49,3.51,57.19,14.53,3.31,,198.0,Moderate
Chennai,3/10/2017,227.17,,2.78,8.0,5.32,,0.0,2.19,13.3,0.12,0.03,,148.0,Moderate
Amaravati,2/23/2019,43.16,149.98,43.76,28.73,50.94,9.94,0.8,9.67,31.72,0.02,0.07,0.11,126.0,Moderate
Delhi,6/26/2016,48.0,86.63,4.54,40.57,42.04,39.05,0.85,8.71,58.37,2.99,9.68,,158.0,Moderate
Thiruvananthapuram,3/1/2020,32.56,55.13,6.52,17.26,20.74,8.65,0.98,6.67,50.62,,,,100.0,Satisfactory
Talcher,3/7/2020,12.97,21.62,12.87,3.31,15.83,1.63,1.27,46.79,18.54,0.0,,,117.0,Moderate
Ahmedabad,11/1/2016,230.76,,12.95,13.35,26.31,,12.95,19.34,50.18,2.21,5.96,3.59,420.0,Severe
Kolkata,6/23/2020,15.9,43.17,4.35,9.47,13.86,11.16,0.37,4.63,21.69,1.89,9.92,0.92,45.0,Good
